region,offense,incident_count,offense_count,year
Northeast,embezzlement,1364,1364,2013
Northeast,embezzlement,1279,1279,2019
Northeast,embezzlement,114,114,1999
Northeast,extortion-blackmail,12,12,1998
Northeast,extortion-blackmail,21,21,1997
Northeast,extortion-blackmail,111,111,2007
Northeast,extortion-blackmail,343,343,2017
Northeast,extortion-blackmail,67,67,2006
Northeast,extortion-blackmail,53,53,2003
Northeast,extortion-blackmail,65,65,2004
Northeast,extortion-blackmail,577,577,2018
Northeast,extortion-blackmail,5,5,1995
Northeast,extortion-blackmail,254,254,2015
Northeast,extortion-blackmail,284,284,2014
Northeast,extortion-blackmail,11,11,1996
Northeast,extortion-blackmail,133,133,2009
Northeast,extortion-blackmail,169,169,2008
Northeast,extortion-blackmail,325,325,2016
Northeast,extortion-blackmail,28,28,2001
Northeast,extortion-blackmail,82,82,2005
Northeast,extortion-blackmail,132,132,2011
Northeast,extortion-blackmail,535,535,2019
Northeast,extortion-blackmail,14,14,1999
Northeast,extortion-blackmail,151,151,2010
Northeast,extortion-blackmail,238,238,2013
Northeast,extortion-blackmail,25,25,2000
Northeast,extortion-blackmail,143,143,2012
Northeast,extortion-blackmail,38,38,2002
Northeast,false-pretenses-swindle-confidence-game,12339,12339,2009
Northeast,false-pretenses-swindle-confidence-game,12725,12725,2008
Northeast,false-pretenses-swindle-confidence-game,16696,16696,2016
Northeast,false-pretenses-swindle-confidence-game,283,283,1996
Northeast,false-pretenses-swindle-confidence-game,17643,17643,2018
Northeast,false-pretenses-swindle-confidence-game,312,312,1995
Northeast,false-pretenses-swindle-confidence-game,15446,15446,2014
Northeast,false-pretenses-swindle-confidence-game,15568,15568,2015
Northeast,false-pretenses-swindle-confidence-game,9727,9727,2004
Northeast,false-pretenses-swindle-confidence-game,7506,7506,2003
Northeast,false-pretenses-swindle-confidence-game,11794,11794,2006
Northeast,false-pretenses-swindle-confidence-game,331,331,1997
Northeast,false-pretenses-swindle-confidence-game,699,699,1998
Northeast,false-pretenses-swindle-confidence-game,12060,12060,2007
Northeast,false-pretenses-swindle-confidence-game,16757,16757,2017
Northeast,false-pretenses-swindle-confidence-game,2,2,1993
Northeast,false-pretenses-swindle-confidence-game,2847,2847,2002
Northeast,false-pretenses-swindle-confidence-game,50,50,1994
Northeast,false-pretenses-swindle-confidence-game,1537,1537,2000
Northeast,false-pretenses-swindle-confidence-game,13996,13996,2012
Northeast,false-pretenses-swindle-confidence-game,14387,14387,2013
Northeast,false-pretenses-swindle-confidence-game,12284,12284,2010
Northeast,false-pretenses-swindle-confidence-game,960,960,1999
Northeast,false-pretenses-swindle-confidence-game,19349,19349,2019
Northeast,false-pretenses-swindle-confidence-game,12980,12980,2011
Northeast,false-pretenses-swindle-confidence-game,11639,11639,2005
Northeast,false-pretenses-swindle-confidence-game,2179,2179,2001
Northeast,fondling,10,10,1993
Northeast,fondling,2049,2249,2006
Northeast,fondling,1526,1695,2003
Northeast,fondling,2361,2587,2007
Northeast,fondling,3070,3276,2017
Northeast,fondling,335,381,1998
Northeast,fondling,206,226,1997
Northeast,fondling,2639,2823,2015
Northeast,fondling,2574,2785,2014
Northeast,fondling,3392,3629,2018
Northeast,fondling,282,317,1995
Northeast,fondling,1900,2119,2004
Northeast,fondling,2715,2933,2016
Northeast,fondling,2531,2747,2009
Northeast,fondling,2580,2808,2008
Northeast,fondling,239,266,1996
Northeast,fondling,909,1000,2001
